Core Number,Internal Title,Vendor,Vendor's Title,Vendor SKU,Backup Vendor,Backup Vendor SKU,Restockable,Vendor Order Unit,Vendor Case Pack,MOQ (Pieces),Buffer Days,Minimum Level,Product URL,Note for Next Order,Case Pack (Pieces),Pieces Per Internal Box,Boxes per Case,Tags & Info,Tag 1,Tag 2,Tag 3,Tag 4,Hazmat,Active,Ignore Until,Notes
Core-0000,Don't Delete or Change (For Making New Cores),Vendor 16,,SKU 29009,Vendor 45,SKU 55883,,,,,14,0,,,,,,,,,,1,,,,
Core-10000,Clamshell Container - Earth Brown - 9x9 - 1 Piece,Vendor 62,Clamshell Container 9x9 Biodegradable,SKU 88582,Vendor 90,SKU 47228,,Case,300,300,14,0,Link,,,,,,,,,2,,Yes,,
Core-10001,Car CD Visor Organizer Core,Vendor 37,,SKU 28614,Vendor 59,SKU 44562,No,Piece,,,14,0,,,,,,,,,,3,,No,,
Core-10002,Camel Tire 383154 1-1/4 Metal Extentions Core,Vendor 37,,SKU 76040,Vendor 31,SKU 99271,No,Piece,,,14,0,,,,,,,,,,4,,No,,
Core-10003,"Liquid Fence 148 Goose Repellent, 1-Gallon Concentrate",Vendor 82,,SKU 29558,Vendor 3,SKU 92514,No,Piece,,,14,0,,,,,,,,,,5,,No,,
Core-10004,Scosche IU335K Hardware Connectivity Kit.,Vendor 7,,SKU 59894,Vendor 61,SKU 69057,No,Piece,,,14,0,,,,,,,,,,6,,No,,
Core-10005,Flo Master .5 gallon Hand Sprayer Core,Vendor 12,,SKU 98487,Vendor 93,SKU 65669,No,Piece,,,14,0,,,,,,,,,,7,,No,,
Core-10006,GE Lighting 75409 Reveal Spiral CFL 10-Watt (40-watt replacement) 2-Pack Core,Vendor 87,,SKU 93286,Vendor 57,SKU 2246,No,Piece,,,14,0,,,,,,,,,,8,,No,,
Core-10007,Car Cd Visor Organizer - Black - 10 pocket - 1 Visor,Vendor 50,,SKU 8878,Vendor 1,SKU 53983,No,Piece,,,14,0,,,,,,,,,,9,,Yes,,
Core-10008,Zhu Zhu Pet Hamster - Captain Zhu - 1 Toy,Vendor 31,,SKU 74846,Vendor 91,SKU 51076,No,Piece,,,14,0,,,,,,,,,,10,,Yes,,
Core-10009,Zhu Zhu Pets Hamster Toy Tex,Vendor 63,,SKU 41014,Vendor 10,SKU 58836,No,Piece,,,14,0,,,,,,,,,,11,,No,,
Core-10010,Zhu Zhu Pet Hamster - Bamboo - 1 Toy,Vendor 49,,SKU 81155,Vendor 23,SKU 75537,No,Piece,,,14,0,,,,,,,,,,12,,Yes,,
Core-10011,Zhu Zhu Pet Hamster - Pinkie - 1 Toy,Vendor 87,,SKU 97803,Vendor 48,SKU 47923,No,Piece,,,14,0,,,,,,,,,,13,,Yes,,
Core-10012,Lawnmower Pulls 299948 Briggs & Stratton Core,Vendor 82,,SKU 19908,Vendor 95,SKU 45041,No,Piece,,,14,0,,,,,,,,,,14,,No,,
Core-10013,Zhu Zhu Pet Hamster - Shamrock - 1 Toy,Vendor 69,,SKU 52427,Vendor 84,SKU 49888,No,Piece,,,14,0,,,,,,,,,,15,,Yes,,
Core-10014,Zhu Zhu Pet Hamster - Bamboo - 1 Toy,Vendor 18,,SKU 32305,Vendor 4,SKU 25345,No,Piece,,,14,0,,,,,,,,,,16,,Yes,,
Core-10015,"Marilyn Monroe Bracelet Journal - Black, White & Pink - 8 x 6.4 x 1 - 1 Journal",Vendor 30,,SKU 68851,Vendor 87,SKU 85982,No,Piece,,,14,0,,,,,,,,,,17,,Yes,,
Core-10016,"Rubbermaid Commercial 3486592 Flex Wall-Mounted Manual Skin Care Dispenser, Black Core",Vendor 51,,SKU 98188,Vendor 81,SKU 60504,No,Piece,,,14,0,,,,,,,,,,18,,No,,
Core-10017,Pet Head No More Drain Clogs Fur Catcher Core,Vendor 70,,SKU 61209,Vendor 82,SKU 61005,No,Piece,,,14,0,,,,,,,,,,19,,No,,
Core-10018,Springfield Hummingbird Wireless Thermometer With Base Station,Vendor 41,,SKU 22426,Vendor 16,SKU 84619,No,Piece,,,14,0,,,,,,,,,,20,,No,,
Core-10019,"Dinex DX33008714 Polystyrene Disposable Lid, 4-3/8"" Diameter (Case of 1000) Core",Vendor 60,,SKU 83076,Vendor 61,SKU 60796,No,Piece,,,14,0,,,,,,,,,,21,,No,,
Core-10020,Ideal Spa-La-La Exotic Bath Kit,Vendor 22,,SKU 6076,Vendor 100,SKU 23133,No,Piece,,,14,0,,,,,,,,,,22,,No,,
Core-10021,"K'Nex Dale Earnhardt Jr Figure Bag, 36509, 8 Piece Set, NASCAR, National Guard Core",Vendor 15,,SKU 62641,Vendor 33,SKU 28533,No,Piece,,,14,0,,,,,,,,,,23,,Yes,,
Core-10022,"K'Nex Jimmie Johnson Figure Bag, 36513, 8 Piece Set, NASCAR, LOWE'S Core",Vendor 53,,SKU 30831,Vendor 76,SKU 68458,No,Piece,,,14,0,,,,,,,,,,24,,Yes,,
Core-10023,"K'Nex Jeff Gordon Figure Bag, 36508, 8 Piece Set, NASCAR, AARP Drive To End Hunger Core",Vendor 29,,SKU 24810,Vendor 7,SKU 17120,No,Piece,,,14,0,,,,,,,,,,25,,No,,
Core-10024,"Sentry Clean Up Urine Destroyer Stain and Odor Remover, 32 Ounce Dispenser Bottle. Erases Dog Uri...",Vendor 18,,SKU 10270,Vendor 25,SKU 39685,No,Piece,,,14,0,,,,,,,,,,26,,No,,
Core-10025,Commscope SV-4G 4-way Coaxial Splitter 5-1002mhz - 50 pack(Whole sale Core,Vendor 5,,SKU 66237,Vendor 59,SKU 39917,No,Piece,,,14,0,,,,,,,,,,27,,No,,
Core-10026,Pillsbury Apple Slicer & Wedge Corer Cutter Fruit Divider Core,Vendor 27,,SKU 86427,Vendor 21,SKU 61149,No,Piece,,,14,0,,,,,,,,,,28,,No,,
Core-10027,Cardinal Health 5210PG Gown Plastic Film Impervious SZ Universal 75/Ca Core,Vendor 31,,SKU 74305,Vendor 24,SKU 67081,No,Piece,,,14,0,,,,,,,,,,29,,No,,
Core-10028,"Ortega, Taco Sauce, 8oz Glass Jar (Pack of 3) (Choose Heat) (Mild) Core",Vendor 65,,SKU 75197,Vendor 30,SKU 19615,No,Piece,,,14,0,,,,,,,,,,30,,No,,
Core-10029,T-A-P Orange Cleaning Spray - Neutral Citrus  - 32 oz - 1 Bottle,Vendor 79,,SKU 6082,Vendor 3,SKU 39788,No,Piece,,,14,0,,,,,,,,,,31,,No,,
Core-10030,Gift Box - Red & White - 4 x 3.5 x 3 inches - Magnetic Closure - 1 Box,Vendor 84,,SKU 89084,Vendor 49,SKU 84846,No,Piece,,,14,0,,,,,,,,,,32,,No,,
Core-10031,Gift Box - Blue & White - 4 x 3.5 x 3 inches - Magnetic Closure - 1 Box,Vendor 22,,SKU 68251,Vendor 82,SKU 99588,No,Piece,,,14,0,,,,,,,,,,33,,No,,
Core-10032,Golf Ball Character Figurines - Hooked Harry  - 1 Figurine,Vendor 55,,SKU 90825,Vendor 99,SKU 3326,No,Piece,,,14,0,,,,,,,,,,34,,Yes,,
Core-10033,Golf Ball Character Figurines - Sand Trap Sammy - 1 Figurine,Vendor 1,,SKU 64046,Vendor 12,SKU 55183,No,Piece,,,14,0,,,,,,,,,,35,,Yes,,
Core-10034,Golf Ball Character Figurines - Terrified Tom - 1 Figurine,Vendor 10,,SKU 56387,Vendor 21,SKU 99892,No,Piece,,,14,0,,,,,,,,,,36,,Yes,,
Core-10035,Golf Ball Character Figurines - Sand Trap Sammy - 1 Figurine,Vendor 83,,SKU 98196,Vendor 90,SKU 33868,No,Piece,,,14,0,,,,,,,,,,37,,Yes,,
Core-10036,Golf Ball Character Figurines - Smacked Mack - 1 Figurine,Vendor 38,,SKU 50863,Vendor 39,SKU 47059,No,Piece,,,14,0,,,,,,,,,,38,,Yes,,
Core-10037,Golf Ball Character Figurines - Sudden Impact - 1 Figurine,Vendor 98,,SKU 55901,Vendor 27,SKU 89913,No,Piece,,,14,0,,,,,,,,,,39,,Yes,,
Core-10038,Golf Ball Character Figurines - Water Ball Willie - 1 Figurine,Vendor 34,,SKU 45783,Vendor 86,SKU 86779,No,Piece,,,14,0,,,,,,,,,,40,,Yes,,
Core-10039,Golf Expressions Character Collection 2 Core,Vendor 42,,SKU 96853,Vendor 14,SKU 67156,No,Piece,,,14,0,,,,,,,,,,41,,Yes,,
Core-10040,"Hilarious Golf Expressions Collectible Character Figurines - Sculpted From Actual Golf Balls, Per...",Vendor 95,"World Centric 8"" Unwrapped Straw Master",SKU 31351,Vendor 22,SKU 14426,No,Piece,,,14,0,,,,,,,,,,42,,Yes,,
Core-10041,Golf Ball Character Figurines - Water Ball Willie - 1 Figurine,Vendor 86,,SKU 30319,Vendor 18,SKU 38060,No,Piece,,,14,0,,,,,,,,,,43,,Yes,,
Core-10042,Golf Ball Character Figurines - Tee Off Golf Ball - 1 Figurine,Vendor 19,,SKU 2122,Vendor 64,SKU 59749,No,Piece,,,14,0,,,,,,,,,,44,,Yes,,
