Warehouse,Product Code,Location,Quantity
1. Cores,Core-11312,A50,2615
1. Cores,Core-10873,A51,451
1. Cores,Core-11405,A51,317
1. Cores,Core-11347,A33,436
1. Cores,Core-10035,A34,588
1. Cores,Core-11943,A35,2491
1. Cores,Core-11167,A39,12
1. Cores,Core-11168,A39,12
1. Cores,Core-11893,A39,67
1. Cores,Core-11313,A43,447
1. Cores,Core-11958,A43,1156
1. Cores,Core-11335,A45,65
1. Cores,Core-11336,A45,155
1. Cores,Core-11337,A45,118
1. Cores,Core-11339,A45,163
1. Cores,Core-11340,A45,136
1. Cores,Core-11343,A45,165
1. Cores,Core-11410,A51,317
1. Cores,Core-11546,A53,218
1. Cores,Core-11204,A57,2984
1. Cores,Core-11075,A59,135580
1. Cores,Core-11760,B00,267
1. Cores,Core-11761,B00,697
1. Cores,Core-11762,B00,29
1. Cores,Core-11763,B00,691
1. Cores,Core-11773,B00,3
1. Cores,Core-11776,B00,503
1. Cores,Core-11777,B00,557
1. Cores,Core-11778,B00,262
1. Cores,Core-11780,B00,52
1. Cores,Core-11781,B00,41
1. Cores,Core-11782,B00,6
1. Cores,Core-11956,B00,1249
1. Cores,Core-12062,B00-R-2A,660
1. Cores,Core-10243,B01,19
1. Cores,Core-10008,B04,126
3. JFN,JLS-0350,10A,11
3. JFN,JLS-0516,10A,3
3. JFN,JLS-0518,10A,18
3. JFN,JLS-1048,11B,1
3. JFN,JLS-0413,11C,20
3. JFN,JLS-1367,12B,3
3. JFN,JLS-1242,12C,1
3. JFN,JLS-1324,20A,34
3. JFN,JLS-1009,20B,3
3. JFN,JLS-1103,20B,1
3. JFN,JLS-80947.1,20B,1
3. JFN,JLS-0353,20C,1
3. JFN,JLS-0932,20C,4
3. JFN,JLS-1193,20C,1
3. JFN,JLS-90762,20C,2
3. JFN,JLS-0278,30A,8
3. JFN,JLS-1024,30A,1
3. JFN,JLS-1115,30A,1
3. JFN,JLS-0168,30B,12
3. JFN,JLS-0240,30B,2
3. JFN,JLS-0241,30B,99
3. JFN,JLS-0351,30C,20
3. JFN,JLS-0225,40A,1
3. JFN,JLS-1088,40A,1
3. JFN,JLS-90868,40A,1
3. JFN,JLS-0245,40B,10
3. JFN,JLS-0266,40B,6
3. JFN,JLS-90869,40B,1
3. JFN,JLS-1090,40C,1
3. JFN,JLS-90870,40C,1
3. JFN,JLS-0937,50B,11
3. JFN,JLS-0748,60A,2
3. JFN,JLS-0774,60A,6
3. JFN,JLS-1392,60A,1
3. JFN,JLS-90833,60A,1
3. JFN,JLS-0269,60B,12
3. JFN,JLS-0776,60B,3
3. JFN,JLS-1102,60B,1
3. JFN,JLS-0761,60C,2
3. JFN,JLS-0130,70A,1
3. JFN,JLS-0887,70A,6
3. JFN,JLS-0265,70B,4
3. JFN,JLS-0275,70B,25
3. JFN,JLS-0330,70B,99
3. JFN,JLS-1015,70B,6
3. JFN,JLS-1025,70B,4
3. JFN,JLS-0157,70C,3
3. JFN,JLS-1495,70C,1
